representation,seed,bottleneck_dim,train_subset,train_size,epochs_ran,best_epoch,best_val_loss,training_seconds,test_loss,exact_match,token_accuracy,normalized_levenshtein,within_edit_distance_1,mean_edit_distance,inference_seq_per_second,inference_ms_per_sequence,device
esm2_8m,42,64,all,79730,36,28,0.0733299881984026,1449.82,0.072866829064412,0.6525534263068125,0.9325163975146336,0.0563025242603035,0.7704424601183907,0.855824219925755,6925.270491542189,0.14439869189532695,cuda
esm2_8m,43,64,all,79730,35,27,0.07321660067790593,1481.52,0.07167374705656981,0.6505468044547005,0.9328907864327216,0.05586594799605164,0.7669308718771948,0.845590448479984,6302.629250780989,0.15866394169958278,cuda
esm2_8m,44,64,all,79730,34,26,0.07201942428946495,1374.37,0.07244877650951728,0.6499448178990669,0.9323724017769074,0.05579528646580723,0.7703421290257851,0.8460921039430119,6931.001781474648,0.14427928768866063,cuda
onehot,42,64,all,79730,46,38,0.015626185442297123,1947.5,0.01686641280181133,0.9147185712852413,0.988012354834297,0.01044870014041422,0.9650847797732517,0.16925855322564462,6740.392889160309,0.14835930433790723,cuda
onehot,43,64,all,79730,44,36,0.015526399291001068,1773.28,0.0167713965026614,0.9147185712852413,0.9878251603752529,0.01055498694685954,0.9642821310324069,0.171666499448179,6959.059296335155,0.143697582879719,cuda
onehot,44,64,all,79730,39,31,0.01566104817753419,1654.49,0.016842290782966673,0.9137152603591853,0.9875299691129142,0.010679486103341483,0.9635798133841678,0.17397411457810777,6721.714112326583,0.14877157571550906,cuda
sceptr,42,64,all,79730,34,26,0.015631044331269387,1438.6,0.016878187322081663,0.9052874485803151,0.9872923761456661,0.010762903291556672,0.9606702116986054,0.1700612019664894,6681.0765368225,0.14967647720970384,cuda
sceptr,43,64,all,79730,25,17,0.015448446170641826,1005.99,0.01793186505062458,0.8911407645229257,0.9852404368830683,0.012352635473980028,0.9537473663088191,0.19353867763619945,6942.691494033216,0.1440363583574805,cuda
sceptr,44,64,all,79730,36,28,0.014794133317012053,1520.72,0.016622064921718378,0.9049864553024982,0.9872923761456661,0.01057906079226048,0.9614728604394502,0.16584729607705428,6718.565058588532,0.14884130633246928,cuda
tcr_bert,42,64,all,79730,29,21,0.04164245581397644,1170.33,0.040557941994988,0.7707434533962075,0.9647642429784078,0.02883887644221048,0.8893348048560249,0.4475770041135748,6948.343259792289,0.14391919952870805,cuda
tcr_bert,43,64,all,79730,26,18,0.041497998273907565,1101.03,0.04137205002972713,0.7640212701916324,0.9634538817650997,0.030204758605446042,0.8806059997993378,0.4672418982642721,6700.394915657967,0.14924493445350925,cuda
tcr_bert,44,64,all,79730,31,23,0.041648901043794095,1249.9,0.04166440746914118,0.7751580214708538,0.9649730367981108,0.028198279038403613,0.8936490418380656,0.4376442259456205,6943.732958313603,0.14401475488810647,cuda
tcremp,42,64,all,79730,39,31,0.0247877309910762,1566.19,0.025743332906411245,0.7975318551219023,0.9779254534065792,0.020130054818765956,0.9388983646031905,0.3027992374836962,7139.259510791705,0.14007054912185218,cuda
tcremp,43,64,all,79730,46,38,0.024846020345695507,1927.35,0.025916891745649852,0.8049563559747166,0.9786814310296416,0.01929511392118879,0.942008628473964,0.2894552021671516,6815.03971278562,0.14673428800772959,cuda
tcremp,44,64,all,79730,47,39,0.024844986697038014,1893.08,0.026344755951028604,0.8025484097521822,0.9785662344394606,0.019611650793997584,0.9408046553626969,0.29266579713053076,6948.998411166585,0.14390563083063387,cuda
